Question Name,Question
Your Why,Why did you join this incubator (1 sentence)?
Your Skills Development,What are the top 3 skills that you want to develop during this incubator experience?;What are the top 3 skills that you want to develop during this incubator experience?;What are the top 3 skills that you want to develop during this incubator experience?
Our Culture,Do you have any ground rules values or community norms that you would like to be upheld in our incubator space?
Your Commitment,Write down a commitment or promise that you want to make to yourself and your future startup team.
Who is a person that you greatly admire?,Who is a person that you greatly admire?
What interested YOU as our user?,Did any features of the Journey platform seem interesting or cool or useful to you as a learner or entrepreneur?As a user of our platform are you motivated by personal entrepreneurial skills development or learning to earn Gemstones (our virtual currency) or receiving mentorship and coaching from professionals?
YourOnline Community,What kind of resources connections or value would you like to get out of your online community?
Defining Social Innovation,How would you define social innovation?
Examples of Social Innovation,Can you think of any examples of social innovation that you have seen in the world?
Social Enterprise Prompt,"Think of an idea for an organization that can make money and profits while making social or environmental impact at the same time.
Briefly describe your idea below:"
Scaling Hero Rats,What would be required for Hero Rats to reach conflict areas all over the world? Can this social innovation idea be scaled to communities everywhere?
Cross-Sectoral Collaboration,Can you provide an example of when the corporate education government or nonprofit industries or sectors collaborated with each other to create social change?
Social Innovation Ideas,"Have you been inspired to come up a new idea for a social innovation or a social venture?
If so please describe."
Computational Thinking Questions,Who is better at computational thinking? Humans or Computers? Explain your answer.
Computational Thinking Exercise Questions,What did you learn today about using computational thinking to solve a problem? What did you learn today about working on a team?
What is Entrepreneurship?,What did you learn today about working on a team?
Questions for Sebastián,Do you have any questions for Sebastián about starting Cambio Coffee or Cambio Labs as organizations?
Entrepreneurial Qualities,What makes Micah an entrepreneur?
Do you think Micah is a social entrepreneur?,Do you think Micah is a social entrepreneur? Why or why not?
Food Business Idea,"Come up with an idea for a new food or beverage business that also makes a positive impact on your local community.

Pitch your idea below."
Envisioning Your Entrepreneurial Life,What do you think the entrepreneurial experience and lifestyle is like?
Knowledge & Skills Development,"What is the most important thing that you have learned so far?

Do you think you've developed any new mindsets or skills?

Provide a thoughtful answer."
What makes life difficult for people?,What makes life difficult for people?
How Might We Address Pain?,"How Might We Address Pain?
How might we make a product or service that addresses someone’s pain?"
Do you think it would be as easy for Daniel to start his business today?,Do you think it would be as easy for Daniel to start his business today? Why or why not?
Your Top SDGs,What are the top 3 SDGs that you feel most passionate about tackling?
What Do You Hope to Gain?,What do you hope to gain on your entrepreneurial journey? What do you think will be most rewarding and challenging?
What Do You Hope to Gain?,What do you hope to gain on your entrepreneurial journey? What do you think will be most rewarding and challenging?
What Did You Learn Today?,"Knowledge & Skills Development
What is the most important thing that you have learned so far?

Do you think you've developed any new mindsets or skills?

Provide a thoughtful answer."
Intrapreneur Example Prompt,Can you think of an example of an intrapreneur?
Assessing Intrapreneurship,"Assessing Intrapreneurship
What is one advantage and one disadvantage of intrapreneurship?"
Lifestyle Entrepreneur Example Prompt,Can you think of an example of a lifestyle entrepreneur?
Assessing Lifestyle Entrepreneurship,"Assessing Lifestyle Entrepreneurship
What is one advantage and one disadvantage of lifestyle entrepreneurship?"
Assessing VC-Backed Entrepreneurship,"Assessing VC-Backed Entrepreneurship
What is one advantage and one disadvantage of VC-backed entrepreneurship?"
VC-Backed Entrepreneurship Example Prompt,Can you think of an example of a VC-backed entrepreneur?
Social Entrepreneur Example Prompt,Can you think of an example of an social entrepreneur?
Assessing Social Entrepreneurship,"Assessing Social Entrepreneurship
What is one advantage and one disadvantage of social entrepreneurship?"
Elements of Teamwork,What elements do you think are needed for extraordinary teamwork to happen?
How do you want others to respond to your ideas?,Think back to a time when you presented your own unique or unusual idea. How did you want people to respond? How did they actually respond?
How can you practice listening better?,How can you promote psychological safety on your team? What can you do differently the next time a team member presents an idea you are unsure about or disagree with?
